Cantonese,Trad. Chinese
孔子同耶蘇都講過，初戀無限美。,孔子跟耶蘇都講過，初戀無限美。
我食緊食神精選，刻骨銘心金銀情侶套餐，餐盤上張紙係咁樣寫。,我在吃食神精選，刻骨銘心金銀情侶套餐，餐盤上的紙這樣寫著。
2月14日，情人節嘅中午，我同同事兩個貪平嗌咗個情侶嗱喳麵分嚟食，理由無他，純粹貪佢平。,二月十四日，情人節的中午，我與同事兩個因為便宜而叫了一個情侶湯麵套餐一起吃。
好彩啲大腸有通乾淨，唔使問火雞姐拎紙巾抿咗佢。,幸好大腸都很乾淨，不用叫火雞姐拿紙巾擦。
「初戀呀⋯⋯月楓，你初戀係點架？」,「初戀呀⋯⋯月楓，你的初戀是怎樣的？」
同事金仔單刀直入咁問啲咁私人嘅問題，都唔知點答好。,同事金仔單刀直入的問如此私人的問題，弄得我一時之間手足無措。
「講出嚟你都未必信。」本來我嘅經歷就屬於異類，唔係易入口嘅純愛故事。,「唔……怎麼說呢？」本來我的經歷就屬於異常，不是容易消化的愛情故事。
不過對金仔嚟講可能比較易接受都唔定。事關佢嘅真正身分係個網上講故佬，亦造就佢乜都聽乜都信嘅性格。我覺得就算話佢知我初戀係同外星人一齊佢都唔會質疑。,不過對金仔來說，情況可能有點不同。因為他的真正身分是個網絡作家，亦造就他喜歡聽故事，而且什麼稀奇古怪的經歷也照單全收的性格。我覺得就算告訴他我的初戀是跟外星人在一起，他都不會質疑。
講起上嚟，一開始會對金仔有莫名嘅親切感，係因為佢同我中意嘅對象同名。,話雖如此，說不說也是我的自由。既然他這麼有興趣，那就勉為其難跟他說一下昔日的故事吧。換作是其他人我才懶得管，誰叫金仔的名字跟我當年喜歡的男生一模一樣，看在這一點份上，就告訴你吧。
「咁你講下，睇下我信唔信咯。橫掂我都想寫新故，近排故荒呀，比啲橋嚟使下啦。」,「告訴我嘛。我要連載新故事，但沒靈感啊。就靠你了。」
「寫故搵唔到食架，你何苦哂咁多精神時間搞啲咁嘅野丫。」,「寫小說維持不到生計的，尤其是香港。你何必浪費這麼多精神時間。」
金仔聽完有啲難以掩蓋嘅失落，但好快振作起嚟。,金仔聽後有些難以掩蓋的失落，但很快便振作起來。
「我想寫個故送畀一個好重要嘅人。」,「我答應過一個朋友，我不寫，那個人會不開心。」
「女女呀？」我咬咗一啖情比金堅嘅炸豬皮，豬皮太淋無咬口失敗。,「女朋友嗎？」我咬了一口情比金堅炸豬皮。
「重要過女女啦，好難解釋你聽。講返你啦，初戀嗰陣係點架啫？」,「比女朋友更重要啦，很難解釋。不說我了，月楓你的初戀是怎樣的啦？」
每一個人都有青春。,每個人都有青春。
每個青春都有一段故事。,每個人的青春都有一段故事。
每段故事都有一個遺憾。,每段故事都有一個遺憾。
一段封塵喺我內心嘅回憶。,一段封塵在心底的回憶。
就算聚會上同同學、姐妹提起，都唔會有人記得嘅往事。,就算在聚會上跟同學、好姐妹提起，都不會有人記得的往事。
我就好似被世界孤立出嚟咁，無任何人同我共享依份記憶。,我就像被世界孤立出來似的，沒有任何人跟我共享這份記憶。
好似喺無人嘅屋企，半夜起身為自己精心煮成嘅宵夜咁，只屬於我一個人感受過嘅味道。,宛如在無人的家中，半夜起床為自己精心煮成的夜宵，那是只屬於我一個人感受過的味道。
本來好似鋪咗一層白紗咁嘅記憶慢慢變得清晰，猶如一路喺海底嘅貝殼終於浮上水面。,本來鋪上一層白紗的記憶慢慢變得清晰，猶如一直沉在海底的貝殼終於浮上水面。
